k,codigo,h,mae
2,405/34,1,0.6806885814666748
2,405/34,2,0.2947671794891358
2,405/34,3,0.8010394430160522
2,405/34,10,0.9036494445800782
2,405/34,11,0.3916090679168702
2,405/34,12,0.37384512901306155
2,418/15,1,0.3042948246002197
2,418/15,2,0.37667762756347656
2,418/15,3,0.24550571203231808
2,418/15,4,0.1850264406204224
2,418/15,5,0.08804032802581785
2,418/15,6,0.1559779357910156
2,418/15,7,0.7197743773460388
2,418/4,1,0.18277508735656722
2,418/4,3,0.3343143033981324
2,418/4,4,0.2891843557357787
2,418/4,5,0.30723767280578596
2,418/4,6,0.3709773063659667
2,418/4,7,0.35701132774353006
2,418/4,9,0.23987005233764647
3,330/183,1,0.10215322494506829
3,330/183,2,0.16143325328826896
3,330/183,3,0.038664841651916415
3,330/183,4,0.27430461406707773
3,330/183,5,0.08017058372497554
3,330/183,6,0.2523676109313966
3,330/183,7,0.2862706899642944
3,330/183,8,0.5625424289703369
3,331/2,1,0.34970958709716804
3,331/2,2,0.01993434906005831
3,331/2,4,0.24260757446289105
3,331/2,6,0.30877655029296847
3,331/2,7,0.6115310478210452
3,331/2,8,0.3397151756286618
3,331/2,10,0.5670306015014646
3,331/2,11,1.1942994880676272
3,331/2,12,0.5878661441802979
3,341/17,1,0.1706537818908691
3,341/17,2,0.3022457504272458
3,341/17,3,0.6161619377136232
3,341/17,4,0.24995546340942365
3,341/17,5,0.35182857513427734
3,341/17,6,0.1855123519897468
3,341/17,7,0.12828487396240185
3,341/17,8,0.48577566146850515
3,341/17,9,0.8532094001770023
3,341/17,10,0.6541182708740232
3,341/17,11,0.6494024276733397
3,341/17,12,0.8185747337341311
3,342/78,1,0.28208293914794913
3,342/78,2,1.386207227706909
3,342/78,3,0.6447989749908452
3,342/78,4,4.252286567687988
3,342/78,5,1.2538448905944826
3,342/78,6,0.7257726573944092
3,342/78,7,0.9798204898834229
3,342/78,8,0.46059667587280284
3,342/78,9,0.20145174026489254
3,342/78,10,0.44620623588562014
3,342/78,11,1.0088029074668885
3,342/78,12,0.8752479887008668
3,342/97,1,2.0188416862487797
3,342/97,2,0.09927986145019574
3,342/97,3,1.397955360412598
3,342/97,4,1.0107508087158203
3,342/97,5,0.36941350936889616
3,342/97,6,0.8098155975341799
3,342/97,7,0.009784011840820561
3,342/97,8,0.9481289863586424
3,342/97,9,1.366726226806641
3,342/97,10,0.3869954681396486
3,342/97,11,1.0767985916137697
3,342/97,12,0.8313856697082516
3,377/54,1,2.426270008087158
3,377/54,2,1.817797374725342
3,377/54,3,3.9635409355163578
3,377/54,4,1.2112159729003906
3,377/54,5,0.5826787948608398
3,377/54,6,0.5510962486267088
3,377/54,7,0.7293569564819338
3,377/54,8,0.949419689178467
3,377/54,9,0.4795325660705565
3,377/54,10,0.30394048690795916
3,377/54,11,0.7292562961578368
3,377/54,12,0.06941099166870135
3,377/84,1,0.3652925491333008
3,377/84,2,0.18028430938720685
3,377/84,3,0.258135509490967
3,377/84,4,0.11366981506347695
3,377/84,5,0.42445436477661147
3,377/84,6,0.21320846557617168
3,377/84,7,0.5866323471069332
3,377/84,8,0.8398361206054688
3,377/84,9,2.900201892852783
3,377/84,10,2.005097198486329
3,377/84,11,2.1042228698730465
3,377/84,12,1.2549131393432615
3,377/86,1,0.3184504127502441
3,377/86,2,0.27753766059875495
3,377/86,3,0.2276050090789794
3,377/86,4,0.09380821228027347
3,377/86,5,0.2885509109497071
3,377/86,6,0.7557163047790527
3,377/86,7,1.1765179634094238
3,377/86,8,0.1957712364196773
3,377/94,1,0.11214945793151898
3,377/94,2,0.16516301155090352
3,377/94,3,0.022464990615844727
3,377/94,4,0.11972979545593265
3,377/94,5,0.13575609207153327
3,377/94,6,0.255136241912842
3,377/94,7,0.2930416297912597
3,377/94,8,0.29621557235717777
3,390/208,1,0.6040841674804689
3,390/208,2,0.40122037887573203
3,390/208,3,0.654607830047607
3,390/208,4,0.1972823715209957
3,390/208,5,0.5487567520141603
3,390/208,6,0.9453782653808593
3,390/208,7,0.1758574867248539
3,390/208,8,0.6538905715942382
3,390/208,9,0.3403113174438479
3,390/208,10,0.3075993919372557
3,390/208,11,0.15251285552978544
3,390/208,12,0.39656435012817415
3,391/243,1,0.6020770359039307
3,391/243,2,0.4829581832885743
3,391/243,3,1.567937307357788
3,391/243,4,1.152580223083496
3,391/243,5,0.6148245143890381
3,391/243,6,0.43998280525207534
3,391/243,7,0.5237772846221924
