"data","localizacao","caudal_médio_diário(m3/s)","coord_x_m","coord_y_m"
1974-10-21,ALMOUROL (17G/02H),"196.40",179148.403,276991.639
1974-10-22,ALMOUROL (17G/02H),"206.70",179148.403,276991.639
1974-10-23,ALMOUROL (17G/02H),"195.20",179148.403,276991.639
1974-10-24,ALMOUROL (17G/02H),"97.10",179148.403,276991.639
1974-10-25,ALMOUROL (17G/02H),"239.90",179148.403,276991.639
1974-10-26,ALMOUROL (17G/02H),"228.50",179148.403,276991.639
1974-10-27,ALMOUROL (17G/02H),"231.30",179148.403,276991.639
1974-10-28,ALMOUROL (17G/02H),"217.60",179148.403,276991.639
1974-10-29,ALMOUROL (17G/02H),"222.10",179148.403,276991.639
1974-10-30,ALMOUROL (17G/02H),"214.90",179148.403,276991.639
1974-10-31,ALMOUROL (17G/02H),"214.70",179148.403,276991.639
1974-11-01,ALMOUROL (17G/02H),"229.00",179148.403,276991.639
1974-11-02,ALMOUROL (17G/02H),"236.70",179148.403,276991.639
1974-11-03,ALMOUROL (17G/02H),"193.50",179148.403,276991.639
1974-11-04,ALMOUROL (17G/02H),"202.90",179148.403,276991.639
1974-11-05,ALMOUROL (17G/02H),"189.00",179148.403,276991.639
1974-11-06,ALMOUROL (17G/02H),"225.60",179148.403,276991.639
1974-11-07,ALMOUROL (17G/02H),"282.90",179148.403,276991.639
1974-11-08,ALMOUROL (17G/02H),"293.70",179148.403,276991.639
1974-11-09,ALMOUROL (17G/02H),"268.50",179148.403,276991.639
1974-11-10,ALMOUROL (17G/02H),"251.10",179148.403,276991.639
1974-11-11,ALMOUROL (17G/02H),"202.60",179148.403,276991.639
1974-11-12,ALMOUROL (17G/02H),"246.90",179148.403,276991.639
1974-11-13,ALMOUROL (17G/02H),"276.80",179148.403,276991.639
