id,data,codigo,nitrato,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
821,2006-11-14 00:00:00+00,353/30,0.84,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
822,2007-04-11 00:00:00+00,353/30,0.84,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
823,2007-11-26 00:00:00+00,353/30,0.84,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
824,2008-04-29 00:00:00+00,353/30,0.84,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
825,2008-11-05 00:00:00+00,353/30,0.84,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
826,2009-10-19 00:00:00+00,353/30,0.886,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
827,2010-07-13 11:40:00+00,353/30,2.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
828,2014-03-03 00:00:00+00,353/30,2.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
829,2014-09-01 00:00:00+00,353/30,2.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
830,2016-09-05 00:00:00+00,353/30,10.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
831,2017-09-04 00:00:00+00,353/30,15.0,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
832,2018-03-05 00:00:00+00,353/30,11.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
833,2018-09-03 00:00:00+00,353/30,11.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
834,2020-03-02 00:00:00+00,353/30,11.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
835,2020-09-07 00:00:00+00,353/30,11.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
836,2021-03-01 00:00:00+00,353/30,11.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
837,2021-09-06 00:00:00+00,353/30,11.000,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:15:52.981546+00
