id,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
150,1978-12-01 00:00:00+00,432/77,-1.1,53.10,131190.00,193570.00,52.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
151,1978-12-26 00:00:00+00,404/61,-6.49,9.49,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
152,1978-12-26 00:00:00+00,404/62,-0.71,2.71,133890.00,217840.00,2.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
153,1978-12-26 00:00:00+00,405/13,-0.42,5.42,136790.00,219600.00,5.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
154,1978-12-26 00:00:00+00,405/7,1.33,2.67,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
155,1978-12-27 00:00:00+00,420/8,20.12,23.88,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
156,1978-12-28 00:00:00+00,432/73,19.57,31.43,131160.00,193590.00,51.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
158,1979-01-01 00:00:00+00,432/77,-11.29,63.29,131190.00,193570.00,52.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
159,1979-01-01 00:00:00+00,420/9,20.54,23.46,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
160,1979-01-01 00:00:00+00,420/8,20.27,23.73,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
161,1979-01-12 00:00:00+00,404/61,-6.32,9.32,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
162,1979-01-12 00:00:00+00,405/7,1.36,2.64,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
163,1979-01-12 00:00:00+00,420/8,20.27,23.73,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
165,1979-02-01 00:00:00+00,420/8,20.34,23.66,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
166,1979-02-01 00:00:00+00,420/9,20.82,23.18,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
167,1979-02-01 00:00:00+00,432/77,-0.97,52.97,131190.00,193570.00,52.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
168,1979-02-06 00:00:00+00,432/73,19.61,31.39,131160.00,193590.00,51.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
169,1979-02-16 00:00:00+00,420/8,20.34,23.66,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
171,1979-03-01 00:00:00+00,420/8,20.51,23.49,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
172,1979-03-01 00:00:00+00,420/9,20.73,23.27,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
173,1979-03-01 00:00:00+00,432/77,-2.28,54.28,131190.00,193570.00,52.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
175,1979-03-13 00:00:00+00,420/8,20.51,23.49,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
176,1979-03-13 00:00:00+00,392/29,30.57,11.43,152609.00,223430.00,42.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,FOROS DE SALVATERRA,2025-07-17 14:16:33.426554+00
